============================================================
Magic Sort Expansion: 10001-11000 (1000 levels) — MILESTONE 11K!
Strategy: 29-color, 3 extra tubes, depth>=34 (proven from 9K)
============================================================

[1/5] 10001-10200: 29c 3ext d>=34
  Level 10339: OK (pre_solved=0/29, depth=272)
  Level 10340: OK (pre_solved=0/29, depth=122)
  [Progress: 140/200, elapsed=1204.2s, ETA=516.1s]
  Level 10341: OK (pre_solved=0/29, depth=149)
  Level 10342: OK (pre_solved=0/29, depth=267)
  Level 10343: OK (pre_solved=0/29, depth=155)
  Level 10344: OK (pre_solved=0/29, depth=188)
  Level 10345: OK (pre_solved=0/29, depth=178)
  Level 10346: OK (pre_solved=0/29, depth=150)
  Level 10347: OK (pre_solved=0/29, depth=203)
  Level 10348: OK (pre_solved=0/29, depth=171)
  Level 10349: OK (pre_solved=0/29, depth=164)
  Level 10350: OK (pre_solved=0/29, depth=171)
  [Progress: 150/200, elapsed=1385.1s, ETA=461.7s]
  Level 10351: OK (pre_solved=0/29, depth=201)
  Level 10352: OK (pre_solved=0/29, depth=211)
  Level 10353: OK (pre_solved=0/29, depth=153)
  Level 10354: OK (pre_solved=0/29, depth=134)
  Level 10355: OK (pre_solved=0/29, depth=198)
  Level 10356: OK (pre_solved=0/29, depth=187)
  Level 10357: OK (pre_solved=0/29, depth=148)
  Level 10358: OK (pre_solved=0/29, depth=113)
  Level 10359: OK (pre_solved=0/29, depth=162)
  Level 10360: OK (pre_solved=0/29, depth=124)
  [Progress: 160/200, elapsed=1459.8s, ETA=364.9s]
  Level 10361: OK (pre_solved=0/29, depth=164)
  Level 10362: OK (pre_solved=0/29, depth=151)
  Level 10363: OK (pre_solved=0/29, depth=149)
  Level 10364: OK (pre_solved=0/29, depth=125)
  Level 10365: OK (pre_solved=0/29, depth=169)
  Level 10366: OK (pre_solved=0/29, depth=195)
  Level 10367: OK (pre_solved=0/29, depth=153)
  Level 10368: OK (pre_solved=0/29, depth=130)
  Level 10369: OK (pre_solved=0/29, depth=213)
  Level 10370: OK (pre_solved=0/29, depth=233)
  [Progress: 170/200, elapsed=1594.4s, ETA=281.4s]
  Level 10371: OK (pre_solved=0/29, depth=128)
  Level 10372: OK (pre_solved=0/29, depth=169)
  Level 10373: OK (pre_solved=0/29, depth=135)
  Level 10374: OK (pre_solved=0/29, depth=138)
  Level 10375: OK (pre_solved=0/29, depth=157)
  Level 10376: OK (pre_solved=0/29, depth=224)
  Level 10377: OK (pre_solved=0/29, depth=169)
  Level 10378: OK (pre_solved=0/29, depth=158)
  Level 10379: OK (pre_solved=0/29, depth=155)
  Level 10380: OK (pre_solved=0/29, depth=169)
  [Progress: 180/200, elapsed=1662.7s, ETA=184.7s]
  Level 10381: OK (pre_solved=0/29, depth=166)
  Level 10382: OK (pre_solved=0/29, depth=159)
  Level 10383: OK (pre_solved=0/29, depth=151)
  Level 10384: OK (pre_solved=0/29, depth=185)
  Level 10385: OK (pre_solved=0/29, depth=152)
  Level 10386: OK (pre_solved=0/29, depth=126)
  Level 10387: OK (pre_solved=0/29, depth=143)
  Level 10388: OK (pre_solved=0/29, depth=377)
  Level 10389: OK (pre_solved=0/29, depth=209)
  Level 10390: OK (pre_solved=0/29, depth=161)
  [Progress: 190/200, elapsed=1683.4s, ETA=88.6s]
  Level 10391: OK (pre_solved=0/29, depth=131)
  Level 10392: OK (pre_solved=0/29, depth=181)
  Level 10393: OK (pre_solved=0/29, depth=140)
  Level 10394: OK (pre_solved=0/29, depth=176)
  Level 10395: OK (pre_solved=0/29, depth=140)
  Level 10396: OK (pre_solved=0/29, depth=163)
  Level 10397: OK (pre_solved=0/29, depth=249)
  Level 10398: OK (pre_solved=0/29, depth=141)
  Level 10399: OK (pre_solved=0/29, depth=232)
  Level 10400: OK (pre_solved=0/29, depth=181)
  [Progress: 200/200, elapsed=1831.3s, ETA=0.0s]

Generated 200/200, 0 failures
  Got: 200/200

[3/5] 10401-10600: 29c 3ext d>=34
  Level 10401: OK (pre_solved=0/29, depth=136)
  Level 10402: OK (pre_solved=0/29, depth=150)
  Level 10403: OK (pre_solved=0/29, depth=134)
  Level 10404: OK (pre_solved=0/29, depth=129)
  Level 10405: OK (pre_solved=0/29, depth=164)
  Level 10406: OK (pre_solved=0/29, depth=143)
  Level 10407: OK (pre_solved=0/29, depth=202)
  Level 10408: OK (pre_solved=0/29, depth=139)
  Level 10409: OK (pre_solved=0/29, depth=150)
  Level 10410: OK (pre_solved=0/29, depth=154)
  [Progress: 10/200, elapsed=68.6s, ETA=1302.7s]
  Level 10411: OK (pre_solved=0/29, depth=207)
  Level 10412: OK (pre_solved=0/29, depth=270)
  Level 10413: OK (pre_solved=0/29, depth=150)
  Level 10414: OK (pre_solved=0/29, depth=166)
  Level 10415: OK (pre_solved=0/29, depth=167)
  Level 10416: OK (pre_solved=0/29, depth=204)
  Level 10417: OK (pre_solved=0/29, depth=160)
  Level 10418: OK (pre_solved=0/29, depth=144)
  Level 10419: OK (pre_solved=0/29, depth=212)
  Level 10420: OK (pre_solved=0/29, depth=136)
  [Progress: 20/200, elapsed=116.5s, ETA=1048.3s]
  Level 10421: OK (pre_solved=0/29, depth=216)
  Level 10422: OK (pre_solved=0/29, depth=146)
  Level 10423: OK (pre_solved=0/29, depth=174)
  Level 10424: OK (pre_solved=0/29, depth=138)
  Level 10425: OK (pre_solved=0/29, depth=161)
  Level 10426: OK (pre_solved=0/29, depth=159)
  Level 10427: OK (pre_solved=0/29, depth=179)
  Level 10428: OK (pre_solved=0/29, depth=184)
  Level 10429: OK (pre_solved=0/29, depth=117)
  Level 10430: OK (pre_solved=0/29, depth=129)
  [Progress: 30/200, elapsed=187.8s, ETA=1064.4s]
  Level 10431: OK (pre_solved=0/29, depth=151)
  Level 10432: OK (pre_solved=0/29, depth=160)
  Level 10433: OK (pre_solved=0/29, depth=175)
  Level 10434: OK (pre_solved=0/29, depth=121)
  Level 10435: OK (pre_solved=0/29, depth=161)
  Level 10436: OK (pre_solved=0/29, depth=150)
  Level 10437: OK (pre_solved=0/29, depth=206)
  Level 10438: OK (pre_solved=0/29, depth=168)
  Level 10439: OK (pre_solved=0/29, depth=208)
  Level 10440: OK (pre_solved=0/29, depth=159)
  [Progress: 40/200, elapsed=261.0s, ETA=1043.9s]
  Level 10441: OK (pre_solved=0/29, depth=160)
  Level 10442: OK (pre_solved=0/29, depth=163)
  Level 10443: OK (pre_solved=0/29, depth=190)
  Level 10444: OK (pre_solved=0/29, depth=272)
  Level 10445: OK (pre_solved=0/29, depth=231)
  Level 10446: OK (pre_solved=0/29, depth=172)
  Level 10447: OK (pre_solved=0/29, depth=147)
  Level 10448: OK (pre_solved=0/29, depth=134)
  Level 10449: OK (pre_solved=0/29, depth=184)
  Level 10450: OK (pre_solved=0/29, depth=208)
  [Progress: 50/200, elapsed=343.0s, ETA=1028.9s]
  Level 10451: OK (pre_solved=0/29, depth=179)
  Level 10452: OK (pre_solved=0/29, depth=135)
  Level 10453: OK (pre_solved=0/29, depth=141)
  Level 10454: OK (pre_solved=0/29, depth=161)
  Level 10455: OK (pre_solved=0/29, depth=154)
  Level 10456: OK (pre_solved=0/29, depth=160)
  Level 10457: OK (pre_solved=0/29, depth=178)
  Level 10458: OK (pre_solved=0/29, depth=150)
  Level 10459: OK (pre_solved=0/29, depth=198)
  Level 10460: OK (pre_solved=0/29, depth=184)
  [Progress: 60/200, elapsed=384.5s, ETA=897.3s]
